,date,open,close,high,low,volume,code
2482,2017-08-18,50.453,51.194,51.859,49.702,1176428.0,601318
2483,2017-08-21,51.416,51.059,52.263,50.819,716152.0,601318
2484,2017-08-22,51.425,53.149,53.207,51.339,1009896.0,601318
2485,2017-08-23,52.966,53.341,53.755,52.783,564884.0,601318
2486,2017-08-24,53.486,53.072,54.189,52.908,560654.0,601318
2487,2017-08-25,52.86,53.755,54.131,52.802,743106.0,601318
2488,2017-08-28,53.9,54.112,55.604,53.9,803295.0,601318
2489,2017-08-29,54.015,54.94,55.123,53.804,416774.0,601318
2490,2017-08-30,54.882,54.314,55.489,54.169,470277.0,601318
2491,2017-08-31,54.237,53.948,54.555,53.486,480957.0,601318
2492,2017-09-01,53.967,54.083,54.92,53.534,571083.0,601318
2493,2017-09-04,53.927,53.578,53.976,53.247,484051.0,601318
2494,2017-09-05,53.82,54.685,54.986,53.539,563769.0,601318
2495,2017-09-06,54.452,53.82,54.772,53.519,424063.0,601318
2496,2017-09-07,54.015,53.344,54.228,53.267,329740.0,601318
2497,2017-09-08,53.335,53.451,53.937,53.267,290322.0,601318
2498,2017-09-11,53.636,52.451,54.384,52.383,804098.0,601318
2499,2017-09-12,52.927,53.247,53.305,52.081,555954.0,601318
2500,2017-09-13,53.237,53.5,53.782,52.781,398069.0,601318
2501,2017-09-14,53.529,52.48,53.675,52.363,510191.0,601318
2502,2017-09-15,52.548,51.858,52.655,51.635,754259.0,601318
2503,2017-09-18,51.751,51.78,52.927,51.751,754002.0,601318
2504,2017-09-19,52.159,51.936,52.499,51.596,621506.0,601318
2505,2017-09-20,51.916,51.567,52.169,51.489,587189.0,601318
2506,2017-09-21,51.644,52.285,52.693,51.499,727092.0,601318
2507,2017-09-22,52.023,52.499,52.8,51.994,549471.0,601318
2508,2017-09-25,52.509,52.616,53.169,52.285,657944.0,601318
2509,2017-09-26,52.451,52.703,52.781,52.412,427958.0,601318
2510,2017-09-27,52.557,52.072,52.693,51.936,468984.0,601318
2511,2017-09-28,52.072,52.208,52.431,51.8,397737.0,601318
2512,2017-09-29,52.188,52.616,52.8,51.907,434172.0,601318
2513,2017-10-09,54.5,53.199,54.889,53.15,882361.0,601318
2514,2017-10-10,53.296,53.354,53.937,52.276,960683.0,601318
2515,2017-10-11,53.335,53.733,54.131,52.995,664527.0,601318
2516,2017-10-12,53.626,55.482,55.559,53.548,898550.0,601318
2517,2017-10-13,55.287,55.452,55.792,55.112,508153.0,601318
2518,2017-10-16,55.861,55.54,56.881,55.462,749769.0,601318
2519,2017-10-17,55.773,56.288,56.599,55.569,637815.0,601318
2520,2017-10-18,56.405,57.298,57.347,56.22,710379.0,601318
2521,2017-10-19,57.376,57.891,58.241,57.123,741138.0,601318
2522,2017-10-20,57.318,57.337,57.755,56.968,456881.0,601318
2523,2017-10-23,58.027,58.173,58.464,57.512,512391.0,601318
2524,2017-10-24,58.066,58.484,59.319,57.93,705336.0,601318
2525,2017-10-25,58.386,58.367,58.717,58.007,386456.0,601318
2526,2017-10-26,58.289,59.64,60.485,58.153,836840.0,601318
2527,2017-10-27,59.746,62.107,62.156,59.727,876860.0,601318
2528,2017-10-30,62.175,62.233,63.438,61.33,1183831.0,601318
2529,2017-10-31,61.689,62.525,62.661,61.505,513661.0,601318
2530,2017-11-01,62.632,62.292,64.39,61.903,1001119.0,601318
2531,2017-11-02,62.369,62.311,62.554,61.204,824946.0,601318
2532,2017-11-03,62.175,62.612,62.991,61.67,681439.0,601318
